62 249 115 213 91 181
63 246 105 216 154 175
273 47 105 216 223 99
192 29 105 216 305 181
148 63 105 216 349 175
600 82 105 216 600 179
600 110 105 216 600 198
600 118 105 216 600 266
600 89 149 203 600 413
600 83 149 203 600 413
600 69 149 203 600 413
600 69 159 204 600 415
600 69 161 204 600 415
600 69 163 201 600 413
600 69 169 197 600 410
600 69 174 190 600 405
600 69 600 181 600 600
600 69 600 178 600 600
600 69 600 177 600 600
600 69 600 177 600 600
600 69 600 172 600 600
600 69 600 144 600 600
600 69 600 50 600 600
a b c d e f
31 249 115 213 133 163
37 249 115 213 537 108
1 214 166 247 578 326
15 172 188 325 587 377
15 171 188 324 587 379
15 179 194 317 587 387
15 144 186 351 587 412
15 107 144 388 587 445
15 600 121 600 587 461
15 600 98 600 587 474
15 600 69 600 587 488
15 600 86 600 587 502
15 600 93 600 587 516
15 600 96 600 587 524
15 600 95 600 587 532
15 600 92 600 587 539
15 600 88 600 587 545
15 600 85 600 587 548
15 600 82 600 587 551
15 600 72 600 587 553
15 600 50 600 587 549
15 600 24 600 587 540
15 600 65 600 587 518
a b c d e f
g h i j k l
99 247 103 216 69 201
125 237 123 225 61 183
169 199 174 263 100 154
397 233 182 192 100 153
397 288 181 192 100 526
397 326 176 177 100 550
397 362 159 152 100 592
397 368 112 135 100 600
397 301 25 149 100 346
397 243 102 149 100 401
397 203 121 212 100 437
397 175 136 246 100 461
397 156 139 267 100 477
397 143 122 281 100 488
397 141 116 283 100 488
397 141 116 283 100 488
397 141 116 283 100 488
397 146 124 278 100 484
397 170 141 252 100 466
397 223 141 178 100 420
397 281 141 144 100 366
397 307 141 130 100 340
397 270 141 129 100 284
397 188 141 228 100 261
397 159 141 260 100 258
a b c d e f
72 238 130 224 83 222
100 100 182 248 79 217
393 263 207 97 79 227
393 371 161 91 79 600
393 341 109 146 79 600
393 288 169 197 79 600
393 600 229 600 79 477
393 600 232 600 79 528
393 600 210 600 79 549
393 600 204 600 79 553
393 600 209 600 79 545
393 600 230 600 79 502
393 198 234 200 79 446
393 264 185 132 79 379
393 297 184 108 79 333
393 208 240 210 79 300
393 164 249 257 79 289
393 139 249 284 79 291
393 118 249 305 79 297
393 76 249 347 79 293
393 43 249 376 79 267
393 38 249 381 79 263
a b c d e f
g h i j k l
